SeqID	ctrl_1	6hpi_1	1dpi_1	3dpi_1	1wpi_1	2wpi_1	3wpi_1	4wpi_1	5wpi_1	6wpi_1	12wpi_1
NA|ENSPMAT00000000201	0.841	6.342	0.918	2.635	2.757	1.129	1.075	1.101	2.555	2.629	2.080
NA|ENSPMAT00000000203	0.175	3.415	0.403	0.525	0.308	0.271	0.336	0.331	0.987	0.459	0.541
NA|ENSPMAT00000000204	0.496	3.992	0.614	1.250	1.330	0.586	0.810	0.785	1.794	1.580	1.998
NA|ENSPMAT00000000206	0.112	0.467	0.240	0.130	0.291	0.000	0.128	0.135	0.690	0.082	0.000
NA|ENSPMAT00000000209	2.543	18.704	7.619	1.452	6.313	2.132	1.714	3.658	6.315	5.516	2.770
NA|ENSPMAT00000000210	2.020	10.313	1.694	2.803	7.539	4.652	3.794	3.174	9.383	4.182	11.100
NA|ENSPMAT00000000211	1.190	11.221	1.253	3.601	4.124	1.953	2.660	1.567	5.552	3.862	6.222
NA|ENSPMAT00000000213	5.326	33.729	5.016	14.160	19.745	8.129	5.778	7.135	24.821	16.790	19.925
NA|ENSPMAT00000000214	226.953	1528.370	286.625	304.305	893.204	467.565	245.889	350.703	496.643	520.934	452.679
NA|ENSPMAT00000000215	10.772	81.040	17.185	40.928	59.082	28.613	17.461	21.201	48.660	38.423	49.408
NA|ENSPMAT00000000217	0.167	1.074	0.790	0.185	0.354	0.171	0.224	0.109	0.637	1.089	0.316
NA|ENSPMAT00000000218	0.254	0.373	0.195	0.052	0.230	0.066	0.339	0.144	0.393	0.397	0.568
NA|ENSPMAT00000000220	0.093	0.000	1.156	0.000	0.034	0.000	0.135	0.986	0.000	13.579	0.057
NA|ENSPMAT00000000224	1.645	10.131	3.448	2.493	2.672	2.057	2.126	2.759	3.329	3.270	6.655
NA|ENSPMAT00000000226	10.406	83.663	5.087	28.089	28.782	17.443	18.340	16.223	41.150	15.764	16.618
NA|ENSPMAT00000000227	0.750	5.981	2.433	1.720	2.998	1.085	0.907	1.526	3.844	6.631	2.502
NA|ENSPMAT00000000228	9.092	21.032	5.936	12.101	11.339	7.833	6.812	6.560	15.792	11.233	18.346
NA|ENSPMAT00000000232	0.906	2.748	0.761	1.360	2.405	1.622	2.701	1.417	3.839	1.504	3.042
NA|ENSPMAT00000000234	0.457	5.046	0.642	1.050	0.901	0.416	0.562	0.695	1.103	0.510	1.668
NA|ENSPMAT00000000235	2.112	10.221	3.311	2.070	5.139	4.497	4.464	3.828	7.665	5.944	3.549
NA|ENSPMAT00000000237	0.890	4.635	0.635	3.154	4.888	2.481	1.777	1.851	5.154	1.132	6.526
NA|ENSPMAT00000000238	0.561	0.907	0.505	0.396	0.112	0.220	0.523	0.315	0.748	0.300	0.668
NA|ENSPMAT00000000244	0.791	2.308	0.053	0.842	0.534	0.837	1.850	0.975	1.757	0.103	2.121
NA|ENSPMAT00000000246	0.756	1.645	0.856	1.743	1.066	0.810	1.104	0.701	2.506	1.206	1.748
NA|ENSPMAT00000000248	0.426	2.100	0.446	1.053	0.379	0.572	0.455	0.294	2.353	0.782	1.626
NA|ENSPMAT00000000250	1.918	13.331	1.822	4.618	9.003	3.527	2.836	3.231	9.740	4.633	10.156
NA|ENSPMAT00000000251	3.371	17.609	5.959	13.636	11.383	6.789	4.604	3.516	12.806	9.233	13.085
NA|ENSPMAT00000000254	5.965	40.916	4.496	14.120	20.470	9.418	8.781	8.819	25.786	17.165	21.990
NA|ENSPMAT00000000255	6.036	0.000	0.001	0.000	0.000	0.000	1.466	0.000	0.000	0.081	0.000
NA|ENSPMAT00000000257	0.304	1.298	0.257	0.764	0.877	0.371	0.562	0.236	0.793	0.749	0.871
NA|ENSPMAT00000000258	0.172	0.849	0.215	0.468	0.268	0.101	0.238	0.261	0.120	0.241	0.762
NA|ENSPMAT00000000259	7.328	85.019	9.915	26.022	39.589	14.896	10.283	9.661	35.866	22.303	37.861
NA|ENSPMAT00000000260	0.202	1.377	0.346	0.807	0.885	0.732	0.543	0.646	1.456	0.490	1.174
NA|ENSPMAT00000000261	0.680	4.209	0.700	1.584	3.067	1.767	1.468	1.415	2.969	1.724	3.626
NA|ENSPMAT00000000262	2.198	7.713	3.678	3.623	4.042	2.547	2.381	2.414	7.710	9.458	7.183
NA|ENSPMAT00000000264	0.827	4.448	1.648	2.502	2.349	1.564	1.828	1.063	2.605	2.607	4.551
NA|ENSPMAT00000000268	0.321	1.562	0.230	1.008	0.704	0.496	0.704	0.315	0.899	0.360	1.273
NA|ENSPMAT00000000269	1.203	11.199	1.870	4.049	4.037	2.505	2.298	1.839	6.357	5.208	5.876
NA|ENSPMAT00000000270	13.555	46.833	18.925	31.584	42.093	24.501	18.641	21.106	47.961	43.071	50.031
NA|ENSPMAT00000000271	0.167	0.623	0.449	0.129	0.243	0.188	0.193	0.099	0.331	0.931	0.882
NA|ENSPMAT00000000272	0.097	0.610	0.066	0.155	0.145	0.079	0.072	0.062	0.200	0.122	0.128
NA|ENSPMAT00000000275	1.362	16.300	1.309	4.235	1.723	1.122	1.799	2.090	4.746	1.386	8.986
NA|ENSPMAT00000000277	0.695	9.079	1.116	1.654	1.905	1.038	0.816	0.861	2.481	2.265	2.514
NA|ENSPMAT00000000279	9.384	73.623	7.542	30.112	41.183	18.862	14.291	16.194	44.128	21.938	32.985
NA|ENSPMAT00000000280	0.193	0.000	0.607	0.054	0.000	0.000	0.087	0.019	0.139	1.263	0.000
NA|ENSPMAT00000000281	1.020	11.142	2.053	3.147	3.246	2.131	1.897	1.436	4.448	5.223	5.879
NA|ENSPMAT00000000282	0.673	4.091	36.379	0.867	0.465	0.505	0.534	0.937	2.554	88.863	2.556
NA|ENSPMAT00000000283	1.973	11.135	2.643	5.974	6.271	3.020	2.108	3.366	7.782	7.364	5.922
NA|ENSPMAT00000000284	4.036	31.507	7.102	21.852	18.570	7.933	4.278	5.758	18.681	14.517	14.718
NA|ENSPMAT00000000285	0.078	0.419	0.104	0.083	0.045	0.008	0.145	0.064	0.096	0.049	0.048
NA|ENSPMAT00000000291	7.075	53.354	8.983	19.451	28.699	11.221	8.865	10.668	37.222	33.586	25.903
NA|ENSPMAT00000000296	0.345	3.257	0.278	4.696	7.209	2.504	0.699	0.822	2.182	0.737	3.756
NA|ENSPMAT00000000297	1.211	6.774	0.726	8.614	6.698	2.718	2.515	2.366	4.495	1.119	3.020
NA|ENSPMAT00000000299	0.222	0.991	0.176	0.516	1.405	0.744	0.609	0.454	1.227	0.397	1.376
NA|ENSPMAT00000000303	1.340	6.111	2.033	1.521	2.651	1.129	1.209	1.404	4.189	5.037	4.289
NA|ENSPMAT00000000306	21.700	235.812	41.613	84.674	84.720	41.220	26.190	34.600	118.079	86.397	131.567
NA|ENSPMAT00000000308	0.119	0.504	0.100	0.261	0.598	0.169	0.147	0.120	0.249	0.296	0.286
NA|ENSPMAT00000000309	6.023	14.753	3.940	2.666	6.904	3.188	5.797	4.308	9.809	7.704	3.605
NA|ENSPMAT00000000311	2.311	11.452	2.969	5.970	6.853	4.252	4.887	3.897	6.977	7.705	10.558
NA|ENSPMAT00000000313	20.816	162.895	23.194	48.827	82.335	35.744	34.336	32.770	122.681	96.710	76.475
NA|ENSPMAT00000000314	0.121	3.697	0.128	6.309	3.882	1.945	0.957	0.431	1.711	0.215	1.394
NA|ENSPMAT00000000315	6.331	61.671	13.429	38.783	43.862	23.112	10.259	13.626	39.618	30.824	37.033
NA|ENSPMAT00000000317	1.293	10.806	0.574	1.232	2.793	2.100	2.378	1.681	3.550	0.346	6.473
NA|ENSPMAT00000000320	2.576	37.465	2.681	7.718	7.076	4.031	5.636	4.278	11.224	5.297	13.331
NA|ENSPMAT00000000324	6.770	53.943	10.122	16.346	23.963	11.440	10.562	8.892	26.020	28.342	23.573
NA|ENSPMAT00000000326	164.727	1472.860	395.724	463.194	856.552	439.529	303.246	376.585	1068.490	1258.250	631.103
NA|ENSPMAT00000000327	0.074	0.344	0.028	0.207	0.512	0.252	0.143	0.123	0.312	0.070	0.395
NA|ENSPMAT00000000328	0.109	0.664	0.228	0.207	0.128	0.103	0.155	0.092	0.289	0.375	0.181
NA|ENSPMAT00000000332	0.735	2.067	0.802	0.791	1.177	0.362	1.164	0.649	1.243	0.447	0.722
NA|ENSPMAT00000000335	5.674	25.166	6.467	22.160	28.458	20.077	14.473	8.945	23.684	17.760	24.198
NA|ENSPMAT00000000337	7.211	4.518	1.831	0.601	0.700	0.413	3.570	0.872	2.356	0.456	0.982
NA|ENSPMAT00000000340	0.242	1.042	0.211	0.086	0.969	0.415	0.326	0.440	0.493	0.303	0.225
NA|ENSPMAT00000000341	15.207	105.315	29.383	28.079	22.957	12.535	10.947	14.666	51.198	77.089	47.385
NA|ENSPMAT00000000342	2.234	11.101	2.612	3.697	3.915	2.261	2.184	2.069	6.059	6.817	7.917
NA|ENSPMAT00000000343	0.327	1.288	0.604	2.495	2.004	1.426	0.829	0.733	2.194	0.677	1.591
NA|ENSPMAT00000000344	17.330	174.677	27.919	54.689	56.600	27.153	14.446	17.757	74.543	70.457	91.658
NA|ENSPMAT00000000350	1.183	5.801	0.103	1.597	1.588	1.097	3.741	1.354	3.354	0.249	4.587
NA|ENSPMAT00000000351	3.916	12.656	5.765	5.783	9.574	4.581	4.540	3.024	8.988	12.539	15.555
NA|ENSPMAT00000000354	7.128	66.171	8.405	31.924	29.055	15.924	23.729	19.977	43.099	18.445	24.626
NA|ENSPMAT00000000355	2.932	46.262	7.407	10.673	15.030	9.936	7.520	5.580	16.259	18.206	28.381
NA|ENSPMAT00000000358	0.552	5.114	1.116	1.336	1.588	1.113	1.034	0.553	1.268	1.608	2.798
NA|ENSPMAT00000000361	5.056	26.179	4.007	17.807	16.383	6.880	4.869	6.248	14.478	11.535	13.232
NA|ENSPMAT00000000362	3.637	15.864	4.418	8.280	9.888	4.922	3.581	4.380	9.183	12.909	17.152
NA|ENSPMAT00000000363	0.087	0.501	0.046	0.027	0.007	0.006	0.047	0.022	0.165	0.020	0.099
NA|ENSPMAT00000000364	1.633	12.093	2.094	3.937	5.478	3.788	4.036	2.794	5.621	3.697	6.487
NA|ENSPMAT00000000366	0.043	0.220	13.256	0.061	0.132	0.038	0.098	0.021	0.000	15.877	0.111
NA|ENSPMAT00000000369	1.246	9.019	1.459	2.518	2.061	1.405	1.668	1.755	3.602	2.815	3.385
NA|ENSPMAT00000000371	6.120	56.622	7.214	22.392	23.117	10.854	7.787	9.660	28.370	24.820	23.730
NA|ENSPMAT00000000373	10.795	77.572	13.207	28.288	38.529	22.722	16.869	16.295	50.022	37.433	47.891
NA|ENSPMAT00000000374	0.309	0.483	0.057	0.066	0.156	0.170	0.507	0.419	0.743	0.056	1.305
NA|ENSPMAT00000000376	0.776	4.748	0.693	2.525	2.215	1.241	1.789	1.275	3.443	1.455	2.563
NA|ENSPMAT00000000380	0.407	1.616	0.258	0.410	2.176	0.260	0.461	0.834	0.473	0.480	0.318
NA|ENSPMAT00000000385	0.071	0.000	0.054	0.283	0.309	0.201	0.069	0.025	0.629	0.000	0.086
NA|ENSPMAT00000000388	0.035	0.306	0.000	0.225	0.159	0.101	0.095	0.000	0.036	0.000	0.167
NA|ENSPMAT00000000390	1.359	8.952	2.371	4.212	3.915	2.526	2.046	1.831	4.942	7.344	5.349
NA|ENSPMAT00000000393	0.456	4.860	0.678	3.876	3.314	1.326	0.757	0.991	1.560	1.314	1.758
NA|ENSPMAT00000000394	0.686	2.209	0.492	0.913	3.369	1.203	1.143	0.602	1.737	1.315	1.346
NA|ENSPMAT00000000396	0.509	0.000	0.000	0.232	0.180	0.229	0.079	0.165	0.892	0.000	0.136
NA|ENSPMAT00000000398	0.294	0.975	0.107	0.828	0.426	0.211	0.391	0.308	1.096	0.228	0.264
NA|ENSPMAT00000000409	0.856	5.621	1.015	1.761	2.428	1.442	1.708	1.343	2.954	2.085	2.125
NA|ENSPMAT00000000411	0.362	1.758	0.682	0.603	1.098	0.526	0.899	0.505	1.181	0.899	1.741
NA|ENSPMAT00000000417	1.433	10.242	3.380	3.277	2.644	1.436	1.562	1.504	3.822	6.011	5.187
NA|ENSPMAT00000000418	0.502	1.743	0.822	0.678	1.340	0.640	0.898	0.624	1.453	1.676	2.109
NA|ENSPMAT00000000419	0.101	0.000	0.058	0.073	0.021	0.070	0.134	0.095	0.451	0.037	0.208
NA|ENSPMAT00000000420	1.489	4.525	0.461	4.108	5.164	2.528	1.351	1.827	5.918	2.128	5.688
NA|ENSPMAT00000000421	12.707	36.922	16.201	31.114	43.063	21.416	24.247	19.956	35.960	43.573	50.455
NA|ENSPMAT00000000422	0.364	0.220	0.047	0.729	0.176	0.247	0.235	0.276	0.232	0.078	0.812
NA|ENSPMAT00000000423	1.341	8.287	1.839	4.133	5.668	2.246	2.050	1.793	5.788	7.966	6.838
NA|ENSPMAT00000000424	0.437	2.277	0.916	3.400	6.754	2.590	2.476	1.379	3.300	0.414	2.446
NA|ENSPMAT00000000425	0.404	3.497	0.530	2.086	1.340	0.681	0.599	0.514	1.535	0.864	1.375
NA|ENSPMAT00000000426	25.324	199.835	17.901	131.026	244.581	106.613	46.904	67.175	176.480	57.324	164.697
NA|ENSPMAT00000000428	0.221	0.564	0.040	0.130	0.112	0.096	0.215	0.036	0.132	0.067	0.220
NA|ENSPMAT00000000429	1.051	7.400	0.837	1.948	2.814	1.278	1.190	1.262	3.530	2.586	4.027
NA|ENSPMAT00000000430	1.333	6.390	1.196	3.189	1.903	1.270	2.122	2.119	3.575	2.041	2.636
NA|ENSPMAT00000000432	0.153	1.631	0.221	0.152	0.000	0.390	0.350	0.105	0.000	0.477	0.091
NA|ENSPMAT00000000434	0.124	1.309	0.061	1.202	3.233	1.967	1.258	1.060	1.952	0.000	0.625
NA|ENSPMAT00000000436	0.327	2.576	0.532	0.894	0.810	0.471	0.797	0.374	1.308	1.341	1.412
NA|ENSPMAT00000000437	0.332	2.425	0.576	1.110	1.304	0.818	0.930	0.477	1.538	1.037	1.485
NA|ENSPMAT00000000438	32.206	377.941	25.046	153.924	192.586	67.612	44.925	63.588	175.409	100.277	127.683
NA|ENSPMAT00000000440	0.184	0.924	0.098	0.171	0.313	0.000	0.139	0.030	0.108	0.439	0.104
NA|ENSPMAT00000000442	15.599	65.661	14.053	26.530	41.600	28.109	20.278	26.393	54.535	33.875	28.087
NA|ENSPMAT00000000444	0.700	3.415	0.780	1.375	2.164	0.975	1.251	0.867	2.646	1.857	3.676
NA|ENSPMAT00000000445	2.580	28.720	3.456	8.364	6.396	3.633	3.777	3.228	9.368	8.663	12.867
NA|ENSPMAT00000000446	0.540	2.613	0.928	1.340	1.770	0.987	0.891	0.751	1.128	1.774	1.415
NA|ENSPMAT00000000447	2.773	19.587	4.230	8.699	8.541	4.094	3.080	3.554	10.126	11.015	10.075
NA|ENSPMAT00000000448	0.449	1.344	0.093	0.527	0.171	0.079	0.139	0.097	0.347	0.124	0.251
NA|ENSPMAT00000000449	4.269	37.353	5.463	9.171	13.416	6.014	6.302	5.103	17.739	15.676	16.089
NA|ENSPMAT00000000454	0.228	1.097	0.249	0.674	0.886	0.405	0.330	0.376	0.509	0.399	0.644
NA|ENSPMAT00000000455	0.344	0.358	0.038	0.947	1.834	1.207	0.130	0.208	3.141	0.255	0.000
NA|ENSPMAT00000000457	1.270	3.806	0.611	0.782	1.163	0.726	1.485	0.894	2.700	1.467	5.643
NA|ENSPMAT00000000460	0.090	0.210	0.064	0.125	0.068	0.090	0.081	0.060	0.224	0.037	0.023
NA|ENSPMAT00000000461	0.168	0.361	1.047	0.389	0.221	0.469	0.364	0.199	0.642	2.055	1.310
NA|ENSPMAT00000000463	1.730	22.516	2.650	17.596	13.792	4.858	2.923	2.709	10.604	4.039	8.359
NA|ENSPMAT00000000465	0.327	0.354	0.072	0.280	0.292	0.079	0.582	0.428	0.533	0.186	0.445
NA|ENSPMAT00000000466	7.152	64.136	9.155	36.141	69.023	35.969	19.702	19.129	50.789	26.690	45.656
NA|ENSPMAT00000000467	4.918	30.462	5.455	7.941	12.164	6.719	5.524	4.378	18.311	14.091	19.471
NA|ENSPMAT00000000468	1.897	20.079	1.478	10.687	21.090	7.715	5.186	3.681	14.844	1.998	9.829
NA|ENSPMAT00000000469	3.293	29.700	7.549	24.002	46.791	19.378	6.869	9.531	23.800	14.323	19.731
NA|ENSPMAT00000000471	1.017	40.256	2.378	56.936	42.032	16.270	5.890	2.851	26.080	2.149	10.907
NA|ENSPMAT00000000474	1.183	13.972	1.500	18.725	29.924	13.597	1.917	3.201	20.846	2.572	5.984
NA|ENSPMAT00000000475	16.294	144.950	4.287	39.968	64.896	52.049	18.942	17.937	135.192	18.598	20.777
NA|ENSPMAT00000000479	3.291	8.234	3.170	6.787	6.915	3.067	2.437	3.228	7.298	7.302	9.075
NA|ENSPMAT00000000480	1.762	2.011	2.337	2.624	3.696	2.361	2.806	1.506	5.469	5.404	4.229
NA|ENSPMAT00000000482	34.575	134.123	28.784	67.704	58.910	45.456	60.772	47.125	101.625	65.488	64.335
NA|ENSPMAT00000000483	1.334	8.142	7.610	3.469	5.884	3.006	2.504	2.589	6.343	12.444	4.539
NA|ENSPMAT00000000486	0.513	3.426	0.574	1.621	1.691	0.892	1.285	0.865	2.136	1.263	1.909
NA|ENSPMAT00000000487	0.068	2.515	0.078	0.787	1.030	0.180	0.293	0.125	0.319	0.312	0.662
NA|ENSPMAT00000000488	0.088	0.374	0.080	0.007	0.539	0.312	0.262	0.114	0.973	0.170	0.111
NA|ENSPMAT00000000489	0.301	1.849	0.349	0.810	0.862	0.419	0.517	0.516	1.088	0.521	0.641
NA|ENSPMAT00000000490	0.103	0.570	0.052	0.534	0.585	0.329	0.302	0.253	0.467	0.079	0.340
NA|ENSPMAT00000000491	1.803	14.027	4.904	10.190	11.858	5.177	2.492	1.686	7.490	8.855	6.783
NA|ENSPMAT00000000495	0.331	2.079	0.320	0.888	0.777	0.721	0.714	0.607	1.265	0.482	0.946
NA|ENSPMAT00000000500	0.465	5.078	0.834	2.889	1.717	0.839	0.964	0.810	1.358	1.867	2.997
NA|ENSPMAT00000000501	0.157	0.741	1.463	0.204	0.145	0.092	0.179	0.035	0.306	2.311	0.426
NA|ENSPMAT00000000503	1.071	4.774	1.263	0.716	1.187	1.070	0.775	0.874	2.232	2.585	2.016
NA|ENSPMAT00000000504	2.730	15.679	4.344	8.732	12.351	5.335	3.303	4.452	14.016	11.007	11.588
NA|ENSPMAT00000000505	6.064	39.521	6.580	14.221	15.914	7.445	9.210	8.022	24.565	18.520	18.661
NA|ENSPMAT00000000506	2.765	26.146	2.871	7.777	7.960	4.783	6.609	5.303	5.232	7.048	12.242
NA|ENSPMAT00000000507	0.410	6.789	1.076	1.147	2.081	1.139	0.684	1.388	2.873	2.926	2.963
NA|ENSPMAT00000000509	2.839	10.871	5.692	3.685	2.431	3.912	2.684	2.104	3.220	8.525	10.690
NA|ENSPMAT00000000510	0.304	2.670	0.506	0.994	0.277	0.358	0.528	0.602	1.251	1.099	0.526
NA|ENSPMAT00000000512	0.210	0.947	0.184	0.261	0.246	0.251	0.541	0.170	0.298	0.055	0.619
NA|ENSPMAT00000000515	4.506	42.219	7.790	14.677	17.999	9.000	6.524	7.148	21.446	17.604	17.872
NA|ENSPMAT00000000516	22.278	197.666	36.013	115.585	135.480	58.892	27.942	41.198	114.278	88.274	101.642
NA|ENSPMAT00000000517	2.277	12.150	2.984	4.998	4.569	2.872	2.688	2.550	7.448	9.496	7.963
NA|ENSPMAT00000000519	1.353	12.079	2.538	3.857	2.183	1.733	1.560	1.182	5.820	5.098	6.020
NA|ENSPMAT00000000521	0.718	2.012	0.964	0.713	2.911	1.302	1.242	0.826	2.081	2.723	1.021
NA|ENSPMAT00000000522	1.581	9.615	2.708	3.113	5.716	2.345	2.688	1.976	8.273	7.069	7.152
NA|ENSPMAT00000000523	1.225	3.734	1.202	0.679	0.738	0.317	0.416	0.767	2.693	4.947	2.568
NA|ENSPMAT00000000524	5.855	12.761	1.296	7.087	12.514	42.972	57.483	21.497	36.658	3.070	90.542
NA|ENSPMAT00000000525	6.276	67.181	6.759	24.648	49.937	21.238	12.125	16.592	48.126	17.464	39.526
NA|ENSPMAT00000000526	2.206	27.715	7.735	17.647	43.493	41.195	26.833	14.823	39.218	8.133	33.643
NA|ENSPMAT00000000528	1.835	0.745	0.581	0.234	0.064	0.261	0.942	0.316	0.923	0.987	0.282
NA|ENSPMAT00000000529	0.434	1.393	0.845	0.826	0.482	0.598	0.732	0.556	1.282	1.378	1.467
NA|ENSPMAT00000000530	1.061	8.197	2.807	2.824	2.302	1.598	1.831	1.893	4.072	5.572	4.749
NA|ENSPMAT00000000532	0.326	1.136	0.241	0.361	0.272	0.164	0.291	0.240	0.682	0.414	0.796
NA|ENSPMAT00000000534	3.046	33.804	4.512	13.655	12.527	6.835	5.921	6.007	14.703	11.648	12.848
NA|ENSPMAT00000000535	0.355	2.840	0.455	1.999	2.895	0.727	0.772	0.611	2.012	1.184	1.977
NA|ENSPMAT00000000536	1.042	5.516	0.682	3.038	4.115	1.447	1.226	1.287	3.888	3.147	3.864
NA|ENSPMAT00000000539	2.216	25.704	3.701	8.389	9.759	4.726	2.388	2.493	5.614	9.308	6.759
NA|ENSPMAT00000000541	1.965	15.743	1.633	6.403	7.702	4.578	4.651	3.211	7.285	1.679	4.312
NA|ENSPMAT00000000543	1.828	20.440	4.216	4.190	4.393	2.643	3.153	2.739	7.343	6.860	8.155
NA|ENSPMAT00000000544	0.424	5.146	0.997	1.820	1.414	0.822	0.649	0.720	1.068	1.246	1.335
NA|ENSPMAT00000000547	5.468	45.465	5.128	2.787	7.053	6.137	6.648	6.604	14.252	13.086	20.439
NA|ENSPMAT00000000548	18.989	126.772	21.489	37.069	37.242	23.828	26.369	20.710	57.714	60.839	60.928
NA|ENSPMAT00000000550	1.427	9.604	1.995	2.860	5.080	2.012	2.035	1.447	5.139	3.475	5.059
NA|ENSPMAT00000000551	0.634	5.066	0.552	3.454	2.390	1.217	1.071	0.965	4.507	1.366	2.836
NA|ENSPMAT00000000552	0.134	0.492	0.087	0.384	0.097	0.097	0.229	0.158	0.694	0.117	0.272
NA|ENSPMAT00000000555	2.230	19.252	3.764	5.661	19.102	7.367	4.559	4.951	17.696	8.373	7.967
NA|ENSPMAT00000000556	6.110	59.395	10.459	27.615	32.758	19.721	17.811	15.623	36.035	24.927	46.491
NA|ENSPMAT00000000565	0.555	3.142	0.425	1.147	1.841	0.770	1.331	0.753	2.206	1.277	1.873
NA|ENSPMAT00000000569	0.404	4.922	0.628	1.100	0.604	0.288	0.282	0.473	1.017	0.875	2.370
NA|ENSPMAT00000000571	5.940	28.647	7.124	12.072	24.338	13.491	9.048	10.099	25.001	20.005	14.948
NA|ENSPMAT00000000573	0.932	1.809	0.358	0.966	1.458	1.175	1.394	1.975	0.726	0.461	1.177
NA|ENSPMAT00000000574	0.910	5.504	2.133	1.122	1.691	0.959	1.284	1.717	3.605	5.544	2.533
NA|ENSPMAT00000000576	2.497	16.137	6.366	5.355	5.004	2.249	3.503	3.910	9.951	14.926	11.608
NA|ENSPMAT00000000577	0.568	3.398	1.228	0.353	0.509	0.413	0.652	0.745	1.367	2.740	1.232
NA|ENSPMAT00000000580	0.346	1.725	0.626	0.722	1.160	0.769	0.826	0.292	0.757	0.457	0.510
NA|ENSPMAT00000000582	0.323	2.139	0.698	0.857	1.648	0.804	0.807	0.527	1.482	1.297	2.187
NA|ENSPMAT00000000583	2.703	17.069	3.034	2.416	4.708	3.505	4.348	4.151	6.082	5.663	2.994
NA|ENSPMAT00000000584	2.423	25.467	4.680	16.793	13.046	7.531	7.154	3.913	10.156	11.204	16.269
NA|ENSPMAT00000000586	1.691	7.311	1.038	1.361	1.969	1.616	2.723	1.685	3.977	2.081	2.942
NA|ENSPMAT00000000587	1.220	9.355	7.653	2.822	1.322	1.276	1.372	1.049	3.813	11.543	5.054
NA|ENSPMAT00000000591	5.876	71.477	7.965	18.869	19.866	14.735	11.361	9.999	18.052	14.524	36.599
NA|ENSPMAT00000000594	0.824	3.468	0.994	2.390	2.316	1.890	1.587	1.333	2.854	2.581	4.882
NA|ENSPMAT00000000596	0.062	0.542	0.074	0.025	0.053	0.007	0.091	0.034	0.000	0.095	0.132
NA|ENSPMAT00000000597	1.084	5.657	1.530	3.492	3.523	1.397	1.558	1.146	4.437	3.555	4.428
NA|ENSPMAT00000000598	7.618	41.746	2.533	10.856	17.429	11.820	20.765	10.456	25.812	6.371	24.654
NA|ENSPMAT00000000599	1.163	8.423	1.691	2.004	3.054	2.226	2.694	1.951	4.332	4.235	2.645
NA|ENSPMAT00000000600	0.370	2.356	0.442	1.516	1.232	0.681	1.045	0.618	1.314	0.713	1.491
NA|ENSPMAT00000000602	4.503	0.000	0.186	0.115	0.000	0.000	1.104	0.345	0.744	0.088	0.085
NA|ENSPMAT00000000603	0.670	3.511	1.947	1.734	1.975	1.294	1.393	0.995	2.764	2.969	2.260
NA|ENSPMAT00000000605	0.845	6.348	1.593	2.389	2.905	1.649	0.952	1.038	1.897	3.323	2.636
NA|ENSPMAT00000000606	5.569	24.594	7.096	11.240	20.581	14.521	9.178	7.092	16.389	11.052	13.606
NA|ENSPMAT00000000612	0.807	3.806	0.537	1.331	1.995	1.163	1.166	1.080	2.104	1.342	1.952
NA|ENSPMAT00000000613	0.214	1.781	0.273	1.785	1.406	0.890	0.537	0.529	0.799	0.546	0.430
NA|ENSPMAT00000000615	1.557	14.170	1.919	3.777	3.810	1.975	1.792	1.608	5.613	4.370	5.295
NA|ENSPMAT00000000616	8.120	31.221	10.603	14.627	10.387	7.669	8.680	6.532	22.756	25.821	33.402
NA|ENSPMAT00000000617	0.580	2.667	0.434	0.979	0.488	0.258	0.555	0.451	1.256	1.073	1.349
NA|ENSPMAT00000000618	1.241	14.737	0.914	6.803	5.132	2.825	1.813	1.905	2.628	2.041	5.379
NA|ENSPMAT00000000619	2.247	22.081	2.582	10.260	8.975	5.290	3.132	2.842	7.569	5.765	10.734
NA|ENSPMAT00000000620	0.369	1.189	0.196	0.757	1.529	0.619	0.675	0.471	2.111	0.857	1.384
NA|ENSPMAT00000000621	6.024	43.081	10.488	18.126	21.204	8.710	9.027	7.094	22.773	20.613	32.860
NA|ENSPMAT00000000622	0.407	2.901	0.304	1.667	2.306	1.450	1.648	0.667	1.783	0.451	3.684
NA|ENSPMAT00000000624	2.173	15.098	1.468	1.752	1.170	1.139	1.368	1.397	4.580	4.254	5.624
NA|ENSPMAT00000000625	3.321	23.697	2.793	8.313	9.210	5.183	6.243	5.050	14.185	6.839	13.905
NA|ENSPMAT00000000629	3.458	22.729	1.275	8.807	10.938	5.390	5.220	4.429	13.703	3.866	12.315
NA|ENSPMAT00000000631	0.627	0.918	0.095	0.321	0.476	0.082	0.168	0.178	0.484	0.486	0.155
NA|ENSPMAT00000000632	5.595	29.962	3.138	23.041	21.919	9.789	5.822	8.163	21.171	9.064	16.279
NA|ENSPMAT00000000634	2.133	8.827	2.226	7.375	6.511	4.106	6.000	3.966	6.696	3.015	6.040
NA|ENSPMAT00000000637	3.273	22.050	4.034	24.510	26.797	10.280	5.126	7.469	17.052	11.016	13.938
NA|ENSPMAT00000000638	12.489	109.122	12.316	54.761	52.461	23.545	11.177	19.009	58.899	42.663	37.226
NA|ENSPMAT00000000639	0.261	0.000	0.240	0.641	0.788	0.545	0.698	0.519	0.673	0.068	1.621
NA|ENSPMAT00000000640	0.482	2.176	0.038	0.856	1.310	0.403	0.874	0.336	1.146	0.193	1.105
NA|ENSPMAT00000000641	0.656	3.906	1.233	1.713	1.806	1.184	0.945	1.410	3.331	3.166	1.963
