SeqID	tissues	sham+4days_1	sham+4days_2	SCI+4days_1	SCI+4days_2	SCI+4days_3
ATXN2|XM_034791306.1|mRNA	0.622	0.000	1.512	4.234	3.182	5.296
ATXN2|XM_034791310.1|mRNA	0.000	0.134	2.056	1.595	1.196	2.536
ATXN2|XM_034791312.1|mRNA	1.795	9.804	53.007	6.129	42.339	39.138
ATXN2|XM_034791314.1|mRNA	1.638	5.302	0.000	26.625	0.000	0.000
ATXN3|XM_034768072.1|mRNA	0.000	0.000	6.756	0.000	0.000	0.000
ATXN3|XM_034768073.1|mRNA	0.684	1.119	0.000	0.000	0.000	0.000
ATXN3|XM_034768074.1|mRNA	0.000	0.854	2.751	0.410	0.000	0.000
ATXN3|XM_034768075.1|mRNA	0.000	0.002	0.000	5.485	0.000	0.000
ATXN3|XM_034768076.1|mRNA	0.034	0.000	0.000	1.196	0.000	0.000
ATXN3|XM_034768077.1|mRNA	1.123	2.679	1.185	3.993	3.987	2.534
ATXN3|XM_034768078.1|mRNA	0.871	0.621	3.769	2.901	0.000	3.442
ATXN3|XM_034768080.1|mRNA	0.000	0.263	0.070	0.000	0.000	10.229
ATXN3|XM_034768081.1|mRNA	3.524	15.395	2.297	15.435	6.986	2.959
ATXN3|XM_034768082.1|mRNA	0.586	4.329	33.865	0.000	35.915	15.184
ATXN7L1|XM_034766486.1|mRNA	0.506	0.787	1.283	4.136	2.937	2.415
ATXN7L1|XM_034766495.1|mRNA	0.001	0.932	4.967	0.058	0.181	3.217
ATXN7L1|XM_034766503.1|mRNA	0.651	0.728	1.129	0.000	0.000	0.000
ATXN7L1|XM_034766511.1|mRNA	0.000	0.153	1.304	0.000	1.606	1.751
ATXN7L1|XM_034766521.1|mRNA	0.000	0.099	4.366	0.270	5.375	0.000
ATXN7L1|XR_004645242.1|transcript	0.000	0.998	1.550	2.242	0.000	0.770
ATXN7L2|XM_034767796.1|mRNA	0.039	0.344	0.135	0.819	0.295	0.207
ATXN7L2|XM_034767797.1|mRNA	0.141	0.000	0.560	0.000	1.159	0.751
ATXN7L3|XM_034755847.1|mRNA	1.971	1.812	11.689	6.908	10.527	11.111
ATXN7L3|XM_034755849.1|mRNA	0.000	0.396	0.000	1.821	0.000	0.000
ATXN7|XM_034775579.1|mRNA	0.402	1.095	0.000	0.718	0.000	5.353
ATXN7|XM_034775580.1|mRNA	0.372	0.000	4.230	0.501	8.586	1.892
ATXN7|XM_034775581.1|mRNA	0.000	1.534	5.176	3.414	0.000	2.416
AUH|XM_034774858.1|mRNA	1.088	0.860	2.647	2.296	4.733	1.232
AUH|XM_034774859.1|mRNA	0.000	0.000	1.178	0.521	0.000	1.962
AUH|XM_034774860.1|mRNA	0.907	6.709	3.116	15.632	15.246	16.370
AUH|XM_034774861.1|mRNA	2.545	2.884	55.118	6.664	11.260	17.137
AUNIP|XM_034753769.1|mRNA	0.000	0.356	0.000	1.084	1.946	1.616
AUNIP|XM_034753771.1|mRNA	0.312	0.000	5.587	1.239	0.000	8.883
AUNIP|XM_034753772.1|mRNA	0.000	0.000	1.421	0.974	0.000	0.968
AUNIP|XM_034753773.1|mRNA	0.000	0.891	0.000	0.666	10.740	0.000
AUP1|XM_034772651.1|mRNA	0.397	0.589	2.601	2.761	5.558	3.445
AUP1|XM_034772652.1|mRNA	1.213	1.711	25.126	3.772	52.266	35.254
AURKAIP1|XM_034753599.1|mRNA	7.371	8.888	42.072	37.376	54.685	52.895
AURKA|XM_034787830.1|mRNA	0.753	0.896	0.000	2.114	0.000	9.455
AURKA|XM_034787833.1|mRNA	0.000	0.804	6.028	4.084	15.670	12.578
AUTS2|XM_034752723.1|mRNA	0.005	12.424	10.095	16.024	16.382	4.761
AUTS2|XM_034752724.1|mRNA	1.351	4.899	3.690	3.857	24.271	0.784
AUTS2|XM_034752725.1|mRNA	1.781	6.363	15.176	19.443	0.000	24.677
AUTS2|XM_034752726.1|mRNA	0.000	0.000	12.358	0.846	1.629	0.096
AUTS2|XM_034752728.1|mRNA	0.647	0.000	4.832	0.733	0.087	4.059
AVEN|XM_034768996.1|mRNA	10.595	22.443	101.837	40.449	77.379	77.217
AVIL|XM_034792586.1|mRNA	0.379	0.199	1.301	0.622	0.752	0.964
AVL9|XM_034761145.1|mRNA	1.914	6.133	15.239	11.319	21.018	17.410
AVPR1A|XM_034754778.1|mRNA	0.035	0.216	1.105	0.345	0.399	1.311
AXDND1|XM_034779694.1|mRNA	0.232	0.892	0.000	0.646	0.000	1.459
AXIN1|XM_034783055.1|mRNA	1.526	3.440	15.250	10.445	13.185	12.020
AXIN2|XM_034790053.1|mRNA	1.120	3.410	0.000	3.304	0.000	1.615
AXIN2|XM_034790054.1|mRNA	1.496	2.686	3.893	9.904	3.335	0.000
AZI2|XM_034760829.1|mRNA	2.603	3.968	42.748	7.488	42.494	10.595
AZI2|XM_034760830.1|mRNA	3.236	6.279	2.353	14.100	0.000	25.636
AZIN1|XM_034763417.1|mRNA	7.300	26.298	62.924	49.191	81.209	85.612
AZIN1|XM_034763418.1|mRNA	0.000	0.000	17.309	5.747	0.233	0.104
AZIN1|XM_034763419.1|mRNA	0.000	0.675	7.353	1.184	52.215	32.042
AZIN1|XM_034763420.1|mRNA	0.000	0.000	63.864	3.207	43.065	35.631
AZIN1|XM_034763421.1|mRNA	0.089	0.876	3.758	0.000	0.000	6.858
AZIN2|XM_034754050.1|mRNA	0.517	1.247	1.780	1.621	0.928	1.509
B2M|XM_034784317.1|mRNA	23.443	13.241	96.077	142.674	527.018	469.468
B3GALNT1|XM_034781169.1|mRNA	0.000	0.247	0.936	0.686	0.000	3.010
B3GALNT1|XM_034781172.1|mRNA	0.000	1.103	2.979	4.469	0.000	0.000
B3GALNT1|XM_034781174.1|mRNA	0.000	0.000	1.157	1.357	0.000	1.609
B3GALNT1|XM_034781176.1|mRNA	0.000	2.875	0.000	0.532	0.000	0.000
B3GALNT1|XM_034781178.1|mRNA	0.411	0.000	7.125	1.003	11.827	12.203
B3GALNT1|XR_004647064.1|transcript	1.055	2.044	5.360	8.568	11.358	9.191
B3GALNT1|XR_004647070.1|transcript	0.000	0.680	0.000	0.710	2.675	0.000
B3GALNT1|XR_004647074.1|transcript	0.000	0.333	2.905	0.000	0.789	0.856
B3GALNT1|XR_004647075.1|transcript	20.200	56.032	153.498	133.368	104.364	232.925
B3GALNT2|XM_034765073.1|mRNA	2.083	5.705	19.600	5.402	17.276	15.319
B3GALNT2|XM_034765074.1|mRNA	0.000	0.000	0.000	3.760	0.000	0.000
B3GALNT2|XR_004645046.1|transcript	0.177	0.727	2.803	3.319	0.000	0.626
B3GALT1|XM_034785491.1|mRNA	1.710	6.609	15.412	8.634	10.778	7.858
B3GALT2|XM_034779403.1|mRNA	7.751	11.568	42.903	12.294	34.455	21.203
B3GALT5|XM_034752998.1|mRNA	1.498	0.000	1.951	1.881	0.000	1.329
B3GALT5|XM_034753021.1|mRNA	0.490	0.774	3.086	1.214	5.457	9.478
B3GALT6|XM_034753506.1|mRNA	0.883	4.368	20.058	7.144	11.950	11.038
B3GAT1|XM_034754738.1|mRNA	0.357	1.371	1.093	2.066	0.000	1.636
B3GAT1|XM_034754739.1|mRNA	0.210	0.269	0.857	0.118	0.000	0.000
B3GAT1|XM_034754740.1|mRNA	0.000	0.221	0.000	0.816	2.680	0.418
B3GAT1|XM_034754742.1|mRNA	2.727	11.859	27.003	20.245	22.813	16.079
B3GAT2|XM_034766217.1|mRNA	9.018	6.566	22.584	11.815	18.335	17.044
B3GLCT|XM_034758659.1|mRNA	1.325	3.740	6.796	8.209	10.844	16.579
B3GLCT|XM_034758660.1|mRNA	0.311	2.739	2.401	3.846	0.005	3.724
B3GLCT|XM_034758661.1|mRNA	0.000	0.000	8.248	1.952	4.363	0.051
B3GNT2|XM_034764174.1|mRNA	1.453	3.160	3.667	4.326	10.833	4.865
B3GNT2|XM_034764175.1|mRNA	0.370	0.092	1.735	0.370	0.480	1.580
B3GNT2|XM_034764176.1|mRNA	1.634	3.561	33.911	9.128	16.420	20.962
B3GNT4|XM_034791290.1|mRNA	0.192	0.798	3.487	1.210	2.930	2.409
B3GNT5|XM_034781246.1|mRNA	0.043	0.305	0.001	0.894	8.169	4.951
B3GNT5|XM_034781247.1|mRNA	0.125	0.250	3.885	0.782	0.001	3.231
B3GNT7|XM_034780544.1|mRNA	0.938	3.259	8.707	7.386	3.884	3.031
B3GNT8|XM_034792614.1|mRNA	0.000	0.033	1.012	0.587	8.960	8.410
B3GNT9|XM_034788094.1|mRNA	0.823	2.509	11.303	4.172	10.276	7.118
B3GNTL1|XM_034789912.1|mRNA	0.602	2.444	11.017	2.154	10.225	18.017
B3GNTL1|XM_034789913.1|mRNA	0.748	0.000	14.534	0.000	0.000	2.795
B3GNTL1|XM_034789916.1|mRNA	0.000	0.491	0.000	2.843	3.954	0.001
B3GNTL1|XM_034789918.1|mRNA	0.000	2.694	4.714	3.396	17.692	11.299
B4GALNT1|XM_034792858.1|mRNA	0.922	1.729	6.113	2.435	2.855	1.569
B4GALNT3|XM_034780571.1|mRNA	0.020	0.144	0.714	0.584	0.222	0.855
B4GALNT4|XM_034770471.1|mRNA	0.000	1.027	0.953	2.179	1.026	0.193
B4GALNT4|XM_034770472.1|mRNA	0.663	0.000	1.796	0.000	1.874	0.341
B4GALNT4|XM_034770473.1|mRNA	0.000	0.302	1.463	0.000	0.052	1.822
B4GALT1|XM_034773519.1|mRNA	3.426	3.960	12.431	11.408	13.869	16.579
B4GALT2|XM_034779181.1|mRNA	0.610	1.995	9.175	6.326	24.230	27.029
B4GALT3|XM_034756382.1|mRNA	0.628	0.041	0.000	2.020	0.000	5.984
B4GALT3|XM_034756387.1|mRNA	0.001	0.000	5.852	1.676	9.780	0.000
B4GALT3|XM_034756388.1|mRNA	0.549	0.825	1.402	1.419	0.000	0.000
B4GALT4|XM_034788936.1|mRNA	0.000	0.682	17.867	6.363	10.989	39.735
B4GALT4|XM_034788943.1|mRNA	1.098	3.869	17.492	9.375	14.434	0.070
B4GALT5|XM_034787172.1|mRNA	0.713	3.406	1.037	26.057	7.672	8.474
B4GALT5|XM_034787173.1|mRNA	2.168	4.275	23.387	16.910	46.005	32.026
B4GALT6|XM_034762822.1|mRNA	0.700	4.776	1.005	6.202	2.463	1.849
B4GALT6|XM_034762823.1|mRNA	2.050	10.885	51.385	16.629	43.009	28.262
B4GALT7|XM_034779553.1|mRNA	0.439	0.653	13.897	2.552	19.482	15.539
B4GAT1|XM_034776832.1|mRNA	0.794	0.900	17.202	2.497	16.071	18.011
B9D1|XM_034784499.1|mRNA	1.185	3.338	18.902	10.497	21.192	31.461
BAALC|XM_034763425.1|mRNA	1.280	6.635	44.123	20.346	58.518	54.633
BAAT|XM_034774947.1|mRNA	0.000	0.321	1.989	0.839	0.732	0.000
BABAM1|XM_034755459.1|mRNA	4.631	5.037	37.639	15.585	49.308	41.394
BABAM2|XM_034764779.1|mRNA	2.237	4.641	24.832	9.382	29.926	27.689
BACE1|XM_034754599.1|mRNA	1.742	4.145	14.452	6.235	7.990	5.340
BACE2|XM_034753154.1|mRNA	0.638	0.998	4.686	4.295	12.975	15.073
BACH1|XM_034793465.1|mRNA	0.000	1.064	0.000	2.055	0.000	0.000
BACH1|XM_034793475.1|mRNA	2.493	2.273	6.936	9.198	17.769	20.582
BACH1|XM_034793494.1|mRNA	0.781	0.000	0.017	1.790	0.000	0.000
BACH1|XM_034793515.1|mRNA	0.000	0.765	3.757	0.000	2.853	5.970
BACH1|XM_034793526.1|mRNA	0.000	0.000	2.981	0.000	0.000	1.346
BACH2|XM_034766028.1|mRNA	0.624	2.677	13.395	4.746	13.734	11.441
BAD|XM_034777855.1|mRNA	0.323	0.265	0.000	0.000	11.890	6.958
BAD|XM_034777856.1|mRNA	0.828	0.000	7.502	0.189	0.000	11.517
BAG1|XM_034761391.1|mRNA	0.675	0.582	3.498	0.641	15.141	4.604
BAG1|XM_034761392.1|mRNA	2.085	5.696	35.570	13.811	34.423	27.759
BAG2|XM_034766254.1|mRNA	8.828	75.885	171.119	85.533	149.699	128.704
BAG3|XM_034776814.1|mRNA	2.624	10.169	33.381	41.610	54.056	41.074
BAG4|XM_034761975.1|mRNA	1.552	4.474	30.468	12.867	31.302	23.000
BAHCC1|XM_034790535.1|mRNA	0.479	1.504	2.558	2.789	1.531	1.612
BAHD1|XM_034769036.1|mRNA	0.000	0.154	0.364	0.656	3.966	0.000
BAHD1|XM_034769038.1|mRNA	0.879	1.448	7.593	5.654	5.148	7.881
BAIAP2L1|XM_034782971.1|mRNA	0.861	0.557	1.979	1.571	0.000	2.586
BAIAP2L2|XM_034776733.1|mRNA	0.109	0.153	0.832	0.341	0.173	0.095
BAIAP2|XM_034789590.1|mRNA	0.364	0.443	0.000	1.213	0.000	0.000
BAIAP2|XM_034789591.1|mRNA	1.017	0.314	0.373	0.907	0.729	0.443
BAIAP2|XM_034789593.1|mRNA	1.738	4.849	11.131	9.993	9.778	9.632
BAIAP2|XM_034789594.1|mRNA	0.000	0.157	0.000	0.693	2.430	0.742
BAIAP2|XM_034789595.1|mRNA	0.000	0.094	1.059	1.181	0.000	2.148
BAK1|XM_034767385.1|mRNA	0.957	2.108	1.991	5.999	3.831	3.501
BAMBI|XM_034760174.1|mRNA	3.745	4.731	43.163	10.635	38.809	51.738
BAMBI|XM_034760175.1|mRNA	0.000	0.000	0.894	1.382	5.046	5.669
BANF1|XM_034775511.1|mRNA	10.140	19.776	197.658	62.198	186.734	202.851
BANF2|XM_034766943.1|mRNA	1.015	4.205	32.657	17.067	7.877	12.230
BANP|XM_034788786.1|mRNA	0.716	0.506	7.844	2.496	7.489	6.909
BAP1|XM_034774981.1|mRNA	0.523	0.857	0.000	1.189	0.000	0.000
BAP1|XM_034774982.1|mRNA	0.385	1.643	10.545	2.192	14.801	13.957
BAP1|XM_034774983.1|mRNA	2.025	2.318	3.807	5.475	4.922	5.131
BARD1|XM_034786385.1|mRNA	0.964	1.036	1.460	0.000	5.489	0.000
BARD1|XM_034786386.1|mRNA	0.000	0.000	0.000	1.817	0.000	0.000
BARD1|XM_034786387.1|mRNA	0.406	1.514	5.545	2.350	0.000	7.908
BARHL1|XM_034793288.1|mRNA	1.346	0.657	3.865	0.377	1.415	0.648
BARHL2|XM_034779459.1|mRNA	1.493	1.367	3.156	1.287	2.354	1.030
BASP1|XM_034761576.1|mRNA	100.016	142.723	186.750	322.464	171.652	165.692
BATF2|XM_034776340.1|mRNA	0.046	0.082	0.213	0.183	1.085	1.481
BATF3|XM_034764524.1|mRNA	0.060	0.231	0.267	1.188	2.001	1.100
BAZ1A|XM_034768643.1|mRNA	1.880	3.988	10.030	16.544	19.404	19.678
BAZ1B|XM_034752259.1|mRNA	2.761	7.725	10.325	23.986	5.881	10.090
BAZ2A|XM_034791801.1|mRNA	0.050	0.069	0.067	0.380	0.327	0.177
BAZ2A|XM_034791803.1|mRNA	0.200	0.384	0.301	1.895	1.371	0.686
BAZ2B|XM_034785683.1|mRNA	4.552	17.482	44.390	27.524	34.452	29.056
BBIP1|XM_034777871.1|mRNA	9.620	14.055	173.833	47.809	215.424	188.151
BBOF1|XM_034768555.1|mRNA	2.788	14.822	15.450	23.767	14.444	10.236
BBOX1|XM_034769839.1|mRNA	1.351	0.611	5.694	3.100	7.483	10.579
BBS10|XM_034771849.1|mRNA	1.137	3.820	22.969	8.648	27.148	21.785
BBS12|XM_034771883.1|mRNA	0.278	0.267	4.738	3.141	6.932	5.848
BBS12|XM_034771884.1|mRNA	0.106	0.958	0.000	0.000	0.000	0.000
BBS12|XM_034771885.1|mRNA	0.000	0.000	3.146	0.000	0.000	0.000
BBS1|XM_034776766.1|mRNA	1.168	2.487	5.534	5.886	11.266	3.677
BBS2|XM_034788619.1|mRNA	5.317	18.131	54.959	37.074	43.761	40.311
BBS4|XM_034783335.1|mRNA	0.547	0.000	0.000	4.173	0.000	0.000
BBS4|XM_034783336.1|mRNA	0.852	3.120	5.555	3.421	2.490	1.418
BBS4|XM_034783339.1|mRNA	0.488	3.195	0.968	2.916	0.000	0.000
BBS4|XM_034783340.1|mRNA	0.279	1.357	0.000	2.439	0.000	0.000
BBS4|XM_034783341.1|mRNA	0.000	0.404	13.751	0.000	9.587	7.859
BBS5|XM_034785306.1|mRNA	3.083	10.963	21.198	18.444	33.986	20.887
BBS5|XM_034785307.1|mRNA	0.616	0.683	2.351	3.887	0.000	2.423
BBS5|XM_034785308.1|mRNA	0.000	0.000	0.500	1.103	0.000	1.349
BBS7|XM_034771824.1|mRNA	2.841	11.859	25.654	19.761	12.320	18.401
BBS9|XM_034761158.1|mRNA	0.000	0.598	5.773	1.651	5.049	0.000
BBS9|XM_034761159.1|mRNA	0.114	0.742	1.025	0.000	0.000	0.000
BBS9|XM_034761160.1|mRNA	0.206	0.597	2.435	0.836	3.239	1.362
BBS9|XM_034761162.1|mRNA	0.000	0.302	1.120	0.000	0.000	5.647
BBX|XM_034790550.1|mRNA	0.000	1.341	17.673	2.835	17.206	11.705
BBX|XM_034790559.1|mRNA	0.000	0.493	0.000	1.427	0.000	3.995
BBX|XM_034790569.1|mRNA	0.895	1.246	5.132	4.124	8.683	6.731
BCAN|XM_034756796.1|mRNA	1.763	5.183	0.024	14.360	23.247	15.695
BCAN|XM_034756797.1|mRNA	0.523	1.742	31.636	6.329	0.834	4.673
BCAR1|XM_034788726.1|mRNA	2.860	4.663	40.825	16.049	45.353	33.687
BCAR3|XM_034779727.1|mRNA	0.857	2.911	13.379	4.177	0.001	10.288
BCAR3|XM_034779728.1|mRNA	0.000	0.000	0.002	0.508	11.706	0.000
BCAR3|XM_034779730.1|mRNA	0.289	1.006	0.000	4.387	0.000	1.882
BCAS1|XM_034786942.1|mRNA	0.123	0.463	9.202	1.325	0.034	3.428
BCAS1|XM_034786946.1|mRNA	0.874	5.149	65.308	10.247	0.268	23.794
BCAS1|XM_034786947.1|mRNA	9.057	38.623	200.577	84.064	112.660	134.334
BCAS1|XM_034786948.1|mRNA	0.443	0.000	10.912	1.727	4.554	2.060
BCAS1|XM_034786949.1|mRNA	1.298	3.753	35.006	8.078	15.857	15.439
BCAS1|XM_034786950.1|mRNA	11.798	40.583	263.094	114.467	164.450	136.788
BCAS1|XM_034786951.1|mRNA	6.717	26.147	111.263	60.726	75.541	25.441
BCAS2|XM_034767030.1|mRNA	14.919	20.526	61.357	81.544	86.047	128.364
BCAS3|XM_034752349.1|mRNA	0.005	0.083	6.698	1.474	0.504	0.000
BCAS3|XM_034752351.1|mRNA	0.000	0.621	1.569	0.681	3.447	0.000
BCAS3|XM_034752352.1|mRNA	0.382	1.926	7.904	2.201	12.840	4.465
BCAS3|XM_034752353.1|mRNA	0.020	0.073	3.940	1.043	0.341	0.000
BCAS3|XM_034752354.1|mRNA	1.265	1.245	3.297	1.094	6.858	14.035
BCAS3|XM_034752356.1|mRNA	0.300	0.000	1.865	0.747	1.104	0.000
BCAS4|XM_034787120.1|mRNA	0.837	0.858	8.975	3.306	5.313	8.173
BCAS4|XM_034787121.1|mRNA	1.163	5.223	41.077	3.860	23.034	27.581
BCAS4|XR_004647821.1|transcript	0.811	1.216	3.064	4.220	0.000	0.000
BCAS4|XR_004647823.1|transcript	0.259	2.151	9.720	2.894	0.946	2.353
BCAT1|XM_034782343.1|mRNA	0.067	4.258	34.194	0.000	12.131	4.607
BCAT1|XM_034782352.1|mRNA	3.098	3.334	2.906	13.289	0.000	11.954
BCAT1|XM_034782361.1|mRNA	0.841	6.558	24.628	10.548	23.667	19.485
BCAT2|XM_034792745.1|mRNA	0.240	0.355	10.093	1.115	11.180	8.251
BCCIP|XM_034777241.1|mRNA	11.686	10.192	66.540	43.726	76.373	97.194
BCCIP|XM_034777242.1|mRNA	0.354	1.217	10.200	1.387	15.107	5.249
BCDIN3D|XM_034793220.1|mRNA	4.972	12.381	30.143	28.518	20.329	22.369
BCHE|XM_034781936.1|mRNA	0.721	2.354	13.155	4.991	6.943	7.768
BCKDHB|XM_034766146.1|mRNA	4.760	3.346	30.115	8.082	41.853	24.039
BCKDK|XM_034768245.1|mRNA	0.000	1.642	10.159	2.853	0.000	1.131
BCKDK|XM_034768246.1|mRNA	2.474	0.672	0.000	3.132	12.039	8.632
BCL10|XM_034779286.1|mRNA	1.771	2.216	23.270	9.020	25.019	21.427
BCL10|XM_034779288.1|mRNA	0.497	2.841	0.000	6.207	0.000	6.798
BCL11A|XM_034764278.1|mRNA	1.287	3.619	23.421	5.647	12.770	14.109
BCL11A|XM_034764279.1|mRNA	0.005	1.462	2.138	1.495	0.000	0.302
BCL11A|XM_034764280.1|mRNA	0.474	0.323	5.957	0.539	4.209	2.189
BCL11B|XM_034768745.1|mRNA	0.715	2.454	0.000	0.005	0.000	0.000
BCL11B|XM_034768746.1|mRNA	0.000	0.322	0.000	1.433	0.000	0.000
BCL11B|XM_034768747.1|mRNA	0.176	0.949	17.543	2.829	11.402	4.408
BCL11B|XM_034768748.1|mRNA	0.831	3.312	0.001	0.012	0.000	0.000
BCL11B|XM_034768749.1|mRNA	0.000	0.403	7.381	4.484	2.882	5.504
BCL2A1|XM_034783861.1|mRNA	0.103	0.092	0.240	1.949	6.761	7.377
BCL2L10|XM_034784460.1|mRNA	3.604	10.398	143.305	42.035	280.900	252.432
BCL2L11|XM_034763946.1|mRNA	0.000	1.276	0.000	1.286	6.617	3.819
BCL2L11|XM_034763948.1|mRNA	0.000	0.286	0.000	4.607	0.000	0.000
BCL2L11|XM_034763949.1|mRNA	0.000	0.248	3.011	0.000	3.298	0.000
BCL2L11|XM_034763951.1|mRNA	0.628	0.000	1.701	1.476	4.461	14.823
BCL2L13|XM_034781356.1|mRNA	1.395	0.000	0.000	8.229	10.589	0.000
BCL2L13|XM_034781366.1|mRNA	7.788	6.240	8.650	8.335	1.066	10.978
BCL2L13|XM_034781387.1|mRNA	0.000	0.156	1.882	0.596	4.137	6.258
BCL2L14|XM_034784351.1|mRNA	1.472	0.329	0.000	2.145	0.967	2.653
BCL2L15|XM_034770630.1|mRNA	0.075	0.246	1.052	1.543	2.340	2.956
BCL2L1|XM_034787402.1|mRNA	1.147	2.014	10.293	9.845	5.838	6.844
BCL2L1|XM_034787403.1|mRNA	1.550	1.176	1.877	2.677	5.633	0.000
BCL2L1|XM_034787404.1|mRNA	0.673	1.832	0.000	1.876	8.266	9.494
BCL2|XM_034762098.1|mRNA	0.347	3.145	0.003	5.785	0.000	0.818
BCL2|XM_034762099.1|mRNA	0.967	6.553	4.470	8.952	0.000	5.980
BCL2|XM_034762100.1|mRNA	0.000	2.793	34.035	0.897	0.000	9.516
BCL2|XM_034762101.1|mRNA	0.312	3.055	5.418	4.552	20.136	3.559
BCL2|XM_034762102.1|mRNA	0.000	0.064	1.741	0.447	1.752	1.890
BCL6|XM_034781618.1|mRNA	0.384	3.346	13.713	5.150	39.918	34.683
BCL6|XM_034781619.1|mRNA	1.431	3.315	0.815	22.598	0.000	0.000
BCL6|XR_004647114.1|transcript	0.000	0.440	0.000	3.093	0.000	0.313
BCL7A|XM_034790943.1|mRNA	2.429	3.318	9.660	13.652	11.716	21.331
BCL7A|XM_034790944.1|mRNA	1.218	5.476	16.628	8.815	25.718	34.583
BCL7A|XM_034790945.1|mRNA	1.365	8.023	55.730	15.475	45.643	28.206
BCL7B|XM_034752432.1|mRNA	0.838	2.178	3.235	3.628	5.770	1.548
BCL9L|XM_034754467.1|mRNA	0.238	1.279	2.155	3.773	0.000	0.000
BCL9L|XM_034754472.1|mRNA	0.750	0.766	0.000	0.792	2.257	1.097
BCL9|XM_034792052.1|mRNA	0.785	2.025	4.167	3.530	5.546	6.179
BCLAF1|XM_034765582.1|mRNA	3.185	8.771	27.036	17.370	16.221	24.430
BCLAF1|XM_034765583.1|mRNA	1.148	1.068	5.544	4.491	11.774	7.752
BCLAF1|XM_034765584.1|mRNA	2.804	8.872	3.882	16.053	2.767	2.878
BCLAF1|XM_034765585.1|mRNA	0.541	3.250	7.884	5.717	17.392	5.911
BCLAF1|XR_004645105.1|transcript	8.841	17.442	1.627	39.958	0.000	1.144
BCLAF1|XR_004645106.1|transcript	0.767	0.000	0.390	0.000	1.894	0.000
BCLAF3|XM_034755684.1|mRNA	1.629	6.849	10.808	13.601	8.143	7.448
BCLAF3|XM_034755692.1|mRNA	0.525	1.080	4.683	2.090	8.065	4.526
BCO1|XM_034788772.1|mRNA	0.275	1.825	0.000	5.804	0.000	6.053
BCO1|XM_034788773.1|mRNA	0.000	0.595	9.839	0.000	8.353	2.761
BCO2|XM_034754567.1|mRNA	1.373	1.527	31.329	6.855	34.697	37.334
BCO2|XM_034754568.1|mRNA	1.470	4.535	0.000	5.181	1.293	0.000
BCORL1|XM_034781740.1|mRNA	1.100	1.656	3.468	4.792	6.617	4.766
BCOR|XM_034754381.1|mRNA	0.000	0.000	0.000	0.000	0.000	5.452
BCOR|XM_034754383.1|mRNA	1.888	6.754	14.007	9.445	16.496	5.284
BCOR|XM_034754410.1|mRNA	0.062	0.652	0.000	0.000	1.550	0.000
BCOR|XM_034754419.1|mRNA	0.412	0.989	2.573	4.718	3.760	1.260
BCOR|XM_034754430.1|mRNA	0.140	0.000	1.527	2.034	0.000	0.000
BCOR|XM_034754438.1|mRNA	0.262	0.595	0.599	1.514	0.000	0.000
BCR|XM_034790606.1|mRNA	1.668	7.800	9.937	17.307	8.778	5.161
BCR|XM_034790607.1|mRNA	0.000	0.000	18.409	0.103	14.633	14.577
BDH1|XM_034780555.1|mRNA	2.783	9.295	77.931	34.634	87.750	77.592
BDH2|XM_034772396.1|mRNA	5.001	2.534	28.262	8.585	39.596	14.354
BDKRB2|XM_034770167.1|mRNA	0.000	0.348	2.422	0.793	2.449	0.000
BDNF|XM_034769999.1|mRNA	0.000	0.148	4.080	1.747	5.126	1.587
BDNF|XM_034770000.1|mRNA	0.000	0.581	2.336	0.608	1.835	2.254
BDNF|XM_034770003.1|mRNA	0.353	0.090	2.417	0.750	0.000	2.512
BDP1|XM_034773647.1|mRNA	1.211	4.934	10.320	5.511	12.376	9.508
BDP1|XM_034773648.1|mRNA	0.003	0.000	2.111	5.657	0.021	0.002
BEAN1|XM_034788364.1|mRNA	1.324	5.115	56.222	16.992	50.386	46.289
BECN1|XM_034756198.1|mRNA	10.437	31.015	127.755	98.359	164.484	129.526
BEGAIN|XM_034769824.1|mRNA	0.804	0.507	8.028	1.265	0.000	0.000
BEGAIN|XM_034769825.1|mRNA	1.058	2.851	13.217	4.607	5.545	12.690
BEGAIN|XM_034769826.1|mRNA	0.184	0.499	0.158	0.613	0.000	0.000
BEGAIN|XM_034769827.1|mRNA	0.271	0.420	0.004	0.000	5.753	0.000
BEND2|XM_034756001.1|mRNA	0.000	0.001	0.000	2.147	0.000	0.000
BEND2|XM_034756019.1|mRNA	0.242	0.000	1.069	0.000	3.931	0.093
BEND2|XM_034756027.1|mRNA	0.001	0.365	4.691	0.986	0.000	4.396
BEND2|XM_034756035.1|mRNA	0.309	0.161	0.555	0.000	4.070	1.927
BEND2|XM_034756045.1|mRNA	0.000	1.478	1.588	1.706	0.000	0.000
BEND3|XM_034765937.1|mRNA	0.177	0.574	1.043	2.798	0.000	2.753
BEND3|XM_034765938.1|mRNA	0.229	0.980	0.000	1.079	3.328	0.000
BEND3|XM_034765939.1|mRNA	0.706	0.314	7.223	2.018	4.728	6.795
BEND4|XM_034772648.1|mRNA	0.893	3.074	9.946	4.505	5.957	5.069
BEND5|XM_034778113.1|mRNA	1.638	0.873	0.986	1.599	0.000	0.372
BEND5|XM_034778114.1|mRNA	1.246	0.000	1.061	1.045	0.000	0.000
BEND5|XM_034778115.1|mRNA	1.342	5.612	14.855	7.609	9.244	7.129
