SeqID	ctrl_r1	ctrl_r2	0hpa_r1	0hpa_r2	6hpa_r1	24hpa_r1	24hpa_r2	72hpa_r1	72hpa_r2
Xetrov90019446m.g|rna29736|gene10634|Level=3	0.538	0.308	0.131	0.113	0.350	0.962	0.432	1.672	1.404
Xetrov90019457m.g|rna34483|gene15306|Level=3	1.128	1.427	0.777	0.653	6.804	2.283	4.621	3.197	4.820
Xetrov90019474m.g|rna28925|gene9833|Level=3	0.000	0.262	0.329	0.000	0.000	0.267	0.267	0.967	0.000
Xetrov90019496m.g|rna31623|gene12496|Level=3	3.672	1.729	1.447	0.671	1.356	1.760	0.881	4.254	0.000
Xetrov90019508m.g|rna34427|gene15251|Level=3	4.160	0.000	0.000	0.000	0.650	5.907	0.000	1.619	0.000
Xetrov90019511m.g|rna32442|gene13306|Level=3	0.100	0.589	0.541	0.881	0.360	0.885	1.368	0.801	0.258
Xetrov90019513m.g|rna28047|gene8970|Level=3	0.000	0.374	0.094	0.087	0.218	0.229	0.305	0.039	0.000
Xetrov90019517m.g|rna31175|gene12052|Level=3	0.000	0.074	0.093	0.000	0.149	0.677	0.678	0.623	1.144
Xetrov90019520m.g|rna27650|gene8577|Level=3	0.866	0.974	0.000	0.000	1.865	0.000	1.252	0.683	2.228
Xetrov90019523m.g|rna28740|gene9650|Level=3	23.159	38.916	38.084	39.825	38.308	30.758	39.405	41.105	25.474
Xetrov90019525m.g|rna31525|gene12400|Level=3	0.391	0.915	0.209	0.145	0.252	0.762	0.805	0.812	0.286
Xetrov90019532m.g|rna30020|gene10910|Level=3	0.000	0.000	0.000	0.000	0.338	0.000	0.139	0.031	0.702
Xetrov90019543m.g|rna28829|gene9737|Level=3	0.000	0.476	0.000	0.000	0.586	0.484	0.000	1.630	0.409
Xetrov90019559m.g|rna32722|gene13579|Level=3	7.515	5.709	5.625	3.430	3.239	2.030	1.725	3.317	2.543
Xetrov90019561m.g|rna30882|gene11763|Level=3	6.420	15.666	14.202	7.095	8.970	15.949	12.416	9.796	10.727
Xetrov90019562m.g|rna33627|gene14466|Level=3	27.132	45.117	45.969	36.434	32.055	33.565	92.152	46.636	53.634
Xetrov90019563m.g|rna28663|gene9575|Level=3	5.550	1.880	8.965	2.144	3.047	4.536	4.526	0.469	0.000
Xetrov90019571m.g|rna31545|gene12420|Level=3	0.000	0.613	0.000	2.855	0.275	0.000	0.000	0.323	0.000
Xetrov90019574m.g|rna29907|gene10801|Level=3	0.497	0.000	0.000	0.175	0.131	0.137	0.770	1.086	0.703
Xetrov90019596m.g|rna28530|gene9444|Level=3	0.296	0.113	0.000	0.000	0.362	0.214	0.744	0.494	0.353
Xetrov90019611m.g|rna32619|gene13478|Level=3	12.037	13.599	14.338	6.969	28.640	26.582	14.966	10.611	36.483
Xetrov90019624m.g|rna33460|gene14302|Level=3	0.550	0.447	0.468	0.694	0.401	0.379	0.380	0.196	0.897
Xetrov90019637m.g|rna28137|gene9058|Level=3	0.000	0.592	0.496	1.764	6.342	5.831	7.715	19.854	21.512
Xetrov90019640m.g|rna34584|gene15407|Level=3	0.960	2.068	0.499	2.316	1.849	1.683	2.027	2.642	2.326
Xetrov90019643m.g|rna29808|gene10702|Level=3	0.323	0.161	0.202	0.094	1.799	0.409	0.818	2.709	3.590
Xetrov90019652m.g|rna34605|gene15427|Level=3	5.780	11.009	6.648	7.137	6.818	2.961	2.117	4.928	0.893
Xetrov90019661m.g|rna30390|gene11275|Level=3	1.226	2.560	0.918	0.000	1.311	1.117	0.000	0.000	0.000
Xetrov90019664m.g|rna28484|gene9398|Level=3	9.607	7.022	1.637	13.687	8.972	7.975	20.414	31.057	28.908
Xetrov90019665m.g|rna33410|gene14253|Level=3	2.490	3.795	3.851	1.975	4.486	5.425	4.607	4.810	3.471
Xetrov90019682m.g|rna31541|gene12416|Level=3	41.034	59.637	44.399	40.270	52.218	33.746	37.718	40.265	24.844
Xetrov90019705m.g|rna29470|gene10372|Level=3	0.618	0.000	0.776	0.000	0.148	0.000	0.000	0.000	0.000
Xetrov90019713m.g|rna31796|gene12669|Level=3	0.486	0.311	0.000	2.534	0.000	0.000	0.000	0.000	0.000
Xetrov90019728m.g|rna30290|gene11175|Level=3	0.486	0.207	0.000	2.534	0.000	0.000	0.000	0.000	0.000
Xetrov90019739m.g|rna29769|gene10663|Level=3	12.335	0.000	3.457	0.000	0.000	0.217	0.000	2.137	0.000
Xetrov90019740m.g|rna33468|gene14309|Level=3	5.295	6.814	5.163	5.813	6.383	1.136	4.770	4.133	3.392
Xetrov90019788m.g|rna28339|gene9254|Level=3	4.706	7.721	8.810	5.722	5.347	5.717	1.430	3.701	7.242
Xetrov90019808m.g|rna30040|gene10930|Level=3	40.123	48.955	27.311	38.011	57.279	77.531	60.973	88.906	102.902
Xetrov90019846m.g|rna27766|gene8693|Level=3	0.614	0.458	0.000	0.533	0.308	0.000	0.000	0.788	0.000
Xetrov90019863m.g|rna34688|gene15510|Level=3	4.913	2.602	4.448	2.217	2.355	1.528	2.781	4.169	1.639
Xetrov90019908m.g|rna31140|gene12017|Level=3	0.619	0.919	0.373	0.244	0.885	0.580	0.809	1.303	0.949
Xetrov90019931m.g|rna31689|gene12562|Level=3	24.757	19.620	17.955	11.352	21.469	14.160	13.255	11.039	14.615
Xetrov90019945m.g|rna34423|gene15247|Level=3	78.206	120.496	118.313	91.787	85.105	66.701	60.687	102.614	70.595
Xetrov90019949m.g|rna33830|gene14665|Level=3	0.834	0.000	0.000	0.000	0.279	0.000	5.068	0.000	0.000
Xetrov90019954m.g|rna28362|gene9276|Level=3	0.317	0.236	0.000	0.000	0.106	0.482	0.241	0.374	1.627
Xetrov90019985m.g|rna31122|gene12000|Level=3	54.755	39.213	12.961	15.639	41.929	44.093	31.203	23.381	38.831
Xetrov90019994m.g|rna30530|gene11412|Level=3	0.331	0.000	0.205	0.225	0.048	0.607	0.185	0.000	0.242
Xetrov90020008m.g|rna33649|gene14488|Level=3	0.252	0.250	0.000	0.097	0.215	0.000	0.255	0.220	0.359
Xetrov90020009m.g|rna32637|gene13496|Level=3	0.563	1.451	1.486	0.362	0.990	0.538	0.666	0.820	0.374
Xetrov90020017m.g|rna34370|gene15194|Level=3	0.281	4.805	17.477	0.158	0.995	0.000	0.000	0.213	0.499
Xetrov90020019m.g|rna28761|gene9670|Level=3	0.640	0.958	0.522	0.352	0.169	0.182	0.000	0.071	0.000
Xetrov90020026m.g|rna27864|gene8790|Level=3	0.196	0.292	0.000	0.529	0.185	0.000	0.000	0.000	0.000
Xetrov90020028m.g|rna29801|gene10695|Level=3	0.204	0.178	0.000	0.191	0.476	0.266	0.160	0.366	0.297
Xetrov90020100m.g|rna31179|gene12056|Level=3	0.721	0.570	0.416	0.214	0.210	0.903	0.446	0.499	1.538
Xetrov90020101m.g|rna32247|gene13113|Level=3	0.314	0.000	0.375	0.174	0.434	0.076	0.000	0.000	0.000
Xetrov90020103m.g|rna30633|gene11515|Level=3	0.934	0.870	0.520	0.518	0.712	0.532	0.551	0.598	0.599
Xetrov90020127m.g|rna33435|gene14278|Level=3	0.493	0.000	0.257	1.457	0.637	0.834	0.111	0.534	0.528
Xetrov90020130m.g|rna29906|gene10800|Level=3	0.493	0.000	0.257	1.457	0.637	0.834	2.269	2.420	0.528
Xetrov90020131m.g|rna29696|gene10595|Level=3	49.357	36.457	22.285	25.888	37.539	31.342	43.351	48.381	41.181
Xetrov90020134m.g|rna32733|gene13590|Level=3	1.006	0.375	0.000	0.437	0.000	1.910	1.981	2.038	0.645
Xetrov90020139m.g|rna33796|gene14632|Level=3	6.409	0.750	4.238	4.964	6.163	3.819	12.095	4.631	13.807
Xetrov90020144m.g|rna34855|gene15675|Level=3	3.773	3.811	4.238	1.748	0.169	4.201	1.926	4.171	7.921
Xetrov90020170m.g|rna30669|gene11551|Level=3	0.110	0.446	0.000	0.137	0.180	0.409	0.492	0.373	0.000
Xetrov90020206m.g|rna28625|gene9538|Level=3	0.000	17.406	0.000	0.000	1.950	0.000	0.000	4.589	0.000
Xetrov90020207m.g|rna28082|gene9004|Level=3	0.233	2.785	0.437	0.811	0.156	0.354	1.064	0.551	1.197
Xetrov90020263m.g|rna31156|gene12033|Level=3	0.208	0.360	0.261	0.138	0.438	0.181	0.420	0.340	0.060
Xetrov90020324m.g|rna34216|gene15041|Level=3	7.570	19.736	15.717	15.327	2.633	2.090	9.203	4.004	21.229
Xetrov90020328m.g|rna32125|gene12991|Level=3	14.782	16.965	13.240	12.942	10.720	11.829	10.509	15.547	13.141
Xetrov90020332m.g|rna28385|gene9299|Level=3	2.084	1.166	0.488	0.000	2.699	0.000	4.355	9.878	1.336
Xetrov90020337m.g|rna34743|gene15564|Level=3	2.084	1.166	0.488	4.525	2.699	3.956	4.355	2.822	1.336
Xetrov90020372m.g|rna33708|gene14547|Level=3	0.306	0.187	0.738	0.481	0.553	0.246	1.107	0.340	1.751
Xetrov90020374m.g|rna27955|gene8879|Level=3	0.256	0.573	0.000	0.667	0.470	0.000	0.000	0.101	0.000
Xetrov90020388m.g|rna32208|gene13074|Level=3	0.229	0.432	0.203	0.209	0.302	0.421	0.293	0.521	0.371
Xetrov90020394m.g|rna31801|gene12674|Level=3	0.456	1.182	0.779	0.206	0.563	0.872	0.542	0.265	0.102
Xetrov90020399m.g|rna32886|gene13742|Level=3	9.138	5.269	6.614	8.782	4.692	4.948	3.610	4.574	7.421
Xetrov90020409m.g|rna32305|gene13171|Level=3	0.000	0.000	0.840	0.000	0.000	0.682	0.682	0.000	0.000
Xetrov90020434m.g|rna32062|gene12930|Level=3	69.515	104.964	110.257	50.379	61.137	39.963	54.877	36.380	33.109
Xetrov90020439m.g|rna30285|gene11170|Level=3	0.888	0.983	0.000	0.000	0.664	1.333	0.663	1.766	1.133
Xetrov90020445m.g|rna31042|gene11920|Level=3	6.211	3.369	2.673	2.713	4.572	4.647	10.680	7.621	10.102
Xetrov90020447m.g|rna28561|gene9474|Level=3	7.804	4.554	4.446	7.661	1.134	1.545	1.031	8.004	14.793
Xetrov90020448m.g|rna28920|gene9828|Level=3	4.421	1.319	1.655	1.536	1.477	1.343	1.344	9.734	9.071
Xetrov90020448m.g|rna33344|gene14188|Level=3	2.202	0.821	6.184	0.000	0.000	0.000	0.837	0.433	5.648
Xetrov90020449m.g|rna34156|gene14981|Level=3	0.000	0.157	0.000	0.912	0.281	0.000	0.000	0.000	0.000
Xetrov90020465m.g|rna29554|gene10456|Level=3	0.000	0.000	1.941	0.000	0.000	0.211	0.000	0.205	0.000
Xetrov90020481m.g|rna31112|gene11990|Level=3	0.267	0.611	0.323	0.000	0.000	0.000	0.000	0.000	0.000
Xetrov90020487m.g|rna34491|gene15314|Level=3	0.129	0.417	0.000	0.000	0.076	0.072	0.000	0.287	0.136
Xetrov90020492m.g|rna32960|gene13815|Level=3	0.853	1.436	0.970	0.409	0.571	1.296	1.216	1.077	0.679
Xetrov90020531m.g|rna31210|gene12087|Level=3	2.108	1.662	1.434	1.524	0.840	0.858	1.525	1.602	2.376
Xetrov90020589m.g|rna33938|gene14767|Level=3	2.193	1.414	2.639	1.149	1.455	1.189	1.901	1.046	1.691
Xetrov90020611m.g|rna34846|gene15666|Level=3	0.069	0.073	0.220	0.000	0.080	0.143	0.131	0.621	0.000
Xetrov90020625m.g|rna33963|gene14791|Level=3	2.342	2.587	2.089	1.180	0.928	1.990	2.231	2.843	1.711
Xetrov90020631m.g|rna27703|gene8630|Level=3	1.465	3.641	0.229	1.909	1.877	0.741	1.670	1.728	1.253
Xetrov90020775m.g|rna32877|gene13733|Level=3	0.968	0.412	0.604	0.520	1.171	0.910	0.981	1.250	0.946
Xetrov90020830m.g|rna28115|gene9036|Level=3	33.205	9.003	37.670	26.215	24.542	47.359	32.111	60.919	33.548
Xetrov90020847m.g|rna32143|gene13009|Level=3	0.077	0.230	0.000	0.000	0.334	0.818	0.702	3.874	2.172
Xetrov90020919m.g|rna32264|gene13130|Level=3	0.239	1.917	0.000	0.407	0.611	0.000	0.000	0.191	0.000
Xetrov90020967m.g|rna29418|gene10320|Level=3	1.267	1.190	0.000	1.407	0.277	1.319	0.612	0.957	0.000
Xetrov90021104m.g|rna29484|gene10386|Level=3	7.958	3.956	0.000	0.000	10.636	4.028	24.188	6.257	0.000
Xetrov90021110m.g|rna27914|gene8839|Level=3	1.713	1.237	1.009	1.045	2.422	3.322	3.715	2.178	1.675
Xetrov90021122m.g|rna30704|gene11586|Level=3	0.000	0.537	0.506	0.000	0.060	0.000	0.000	0.071	0.231
Xetrov90021164m.g|rna30444|gene11329|Level=3	0.490	0.000	0.000	0.426	0.328	0.000	0.000	0.193	0.000
Xetrov90021170m.g|rna31161|gene12038|Level=3	14.731	13.888	16.191	12.719	15.888	14.311	14.195	16.486	4.668
Xetrov90021170m.g|rna33873|gene14704|Level=3	2.767	3.564	1.413	1.092	3.656	2.673	4.587	6.033	1.613
Xetrov90021213m.g|rna28629|gene9542|Level=3	0.000	1.501	0.000	0.000	1.009	1.528	0.000	2.373	0.000
Xetrov90021261m.g|rna34100|gene14926|Level=3	26.404	27.863	27.705	21.481	24.663	27.207	25.431	25.384	22.159
Xetrov90021279m.g|rna31751|gene12624|Level=3	11.179	21.263	20.749	14.727	11.237	9.062	10.006	15.271	5.467
Xetrov90021331m.g|rna31181|gene12058|Level=3	0.202	0.000	0.202	0.182	0.450	0.048	0.000	0.021	0.000
Xetrov90021343m.g|rna34181|gene15006|Level=3	0.000	0.000	1.300	0.000	0.306	2.628	1.286	0.629	5.476
Xetrov90021399m.g|rna31530|gene12405|Level=3	9.936	8.879	8.338	9.123	14.420	11.317	11.574	11.710	11.065
Xetrov90021402m.g|rna28991|gene9898|Level=3	1.949	2.079	2.003	1.019	1.364	2.038	1.822	2.162	1.382
Xetrov90021434m.g|rna33650|gene14489|Level=3	3.164	3.146	13.820	0.611	7.870	2.135	2.137	3.041	0.000
Xetrov90021455m.g|rna28815|gene9723|Level=3	95.139	134.250	97.636	82.674	126.980	106.393	127.144	152.216	115.098
Xetrov90021455m.g|rna33155|gene14004|Level=3	5.974	2.038	5.554	1.563	3.871	4.373	1.138	56.337	21.499
Xetrov90021457m.g|rna32728|gene13585|Level=3	1.808	1.155	0.967	1.346	1.984	0.392	1.962	2.640	1.987
Xetrov90021472m.g|rna32930|gene13785|Level=3	0.000	6.906	6.967	9.360	16.561	2.738	3.379	3.613	11.130
Xetrov90021483m.g|rna29088|gene9993|Level=3	8.925	5.498	14.683	10.276	11.631	8.502	6.561	8.040	5.870
Xetrov90021490m.g|rna34369|gene15193|Level=3	0.000	2.365	0.000	0.000	2.164	0.000	0.000	1.218	0.000
Xetrov90021593m.g|rna31923|gene12794|Level=3	0.709	0.430	0.000	0.808	0.533	0.976	1.380	2.021	0.852
Xetrov90021627m.g|rna31492|gene12367|Level=3	12.224	5.881	5.905	5.479	5.534	10.777	3.595	8.061	13.147
Xetrov90021640m.g|rna32763|gene13620|Level=3	0.000	0.565	0.709	0.658	0.380	0.575	0.000	0.894	0.000
Xetrov90021663m.g|rna31642|gene12515|Level=3	0.000	5.120	3.213	0.000	1.467	2.037	0.000	0.000	0.000
Xetrov90021805m.g|rna32729|gene13586|Level=3	5.463	9.310	6.097	4.007	9.160	7.367	3.970	5.096	2.350
Xetrov90021822m.g|rna32306|gene13172|Level=3	5.977	8.520	7.239	8.091	9.867	10.676	10.952	10.781	4.734
Xetrov90021822m.g|rna33276|gene14122|Level=3	0.000	0.000	0.000	10.136	5.850	0.000	8.869	0.000	0.000
Xetrov90021831m.g|rna27835|gene8762|Level=3	7.935	10.643	0.000	11.784	5.131	3.376	0.000	6.196	0.000
Xetrov90021870m.g|rna33292|gene14137|Level=3	1.801	2.149	0.000	0.501	0.096	0.328	1.423	2.209	0.000
Xetrov90021871m.g|rna32923|gene13778|Level=3	0.170	0.381	0.000	0.148	0.171	0.000	0.000	0.201	0.436
Xetrov90021956m.g|rna28606|gene9519|Level=3	1.456	1.011	0.846	0.848	1.230	1.483	1.621	2.055	1.438
Xetrov90021958m.g|rna33453|gene14295|Level=3	0.000	0.143	0.000	0.559	0.096	0.000	0.220	0.000	0.000
Xetrov90021965m.g|rna32293|gene13159|Level=3	0.591	2.646	2.399	0.685	1.219	1.197	2.247	3.488	2.023
Xetrov90021987m.g|rna29380|gene10282|Level=3	0.585	0.420	0.526	0.406	0.951	14.124	2.352	1.551	31.207
Xetrov90021991m.g|rna32394|gene13260|Level=3	2.689	2.913	2.552	1.931	2.443	2.596	1.986	1.529	0.796
Xetrov90021993m.g|rna27990|gene8914|Level=3	0.134	0.198	0.000	0.229	0.386	0.558	0.403	0.506	0.173
Xetrov90021996m.g|rna34296|gene15121|Level=3	0.000	0.259	0.000	0.000	0.174	0.000	0.528	0.137	0.000
Xetrov90022029m.g|rna28246|gene9162|Level=3	1.347	0.335	0.000	2.339	0.975	0.000	1.023	3.883	0.000
Xetrov90022056m.g|rna34322|gene15146|Level=3	1.409	1.721	1.394	0.969	1.672	1.144	1.281	1.516	0.957
Xetrov90022088m.g|rna34144|gene14969|Level=3	0.569	0.682	0.381	0.494	0.800	0.619	0.431	0.991	0.309
Xetrov90022090m.g|rna32538|gene13399|Level=3	0.513	0.850	0.320	0.396	1.123	0.779	0.779	0.627	1.462
Xetrov90022129m.g|rna31177|gene12054|Level=3	0.139	0.245	0.549	0.400	0.172	0.049	0.295	0.207	0.090
Xetrov90022132m.g|rna28321|gene9237|Level=3	0.168	0.371	0.265	0.102	0.135	0.000	0.000	0.205	0.753
Xetrov90022142m.g|rna32984|gene13839|Level=3	0.621	0.132	0.000	0.154	0.178	0.404	0.135	1.046	0.000
Xetrov90022161m.g|rna32707|gene13564|Level=3	7.090	9.123	8.444	9.995	8.380	7.890	10.547	11.743	6.328
Xetrov90022182m.g|rna28636|gene9549|Level=3	5.660	2.809	2.923	4.612	3.874	1.724	3.505	2.493	6.809
Xetrov90022201m.g|rna32590|gene13449|Level=3	0.591	0.685	1.280	0.699	0.916	2.697	2.542	5.475	2.069
Xetrov90022209m.g|rna29871|gene10765|Level=3	2.503	3.891	2.891	2.220	3.379	3.072	3.965	4.852	1.775
Xetrov90022212m.g|rna31345|gene12221|Level=3	0.313	0.746	0.644	1.013	0.993	1.187	2.678	2.186	3.208
Xetrov90022217m.g|rna31090|gene11968|Level=3	1.334	1.989	2.185	4.344	1.337	4.557	4.054	4.326	4.704
Xetrov90022218m.g|rna32095|gene12962|Level=3	0.000	0.000	0.000	0.198	0.038	0.865	0.173	0.762	2.046
Xetrov90022220m.g|rna30872|gene11753|Level=3	0.000	0.207	0.000	0.136	0.257	0.238	0.197	2.324	0.372
Xetrov90022221m.g|rna28905|gene9813|Level=3	1.233	4.316	9.519	39.324	14.816	15.728	38.274	78.730	17.062
Xetrov90022231m.g|rna32545|gene13406|Level=3	0.607	0.414	0.719	0.374	1.258	1.258	0.541	0.628	1.587
Xetrov90022242m.g|rna31254|gene12130|Level=3	0.189	0.283	0.000	0.987	1.393	0.863	2.879	4.767	0.972
Xetrov90022273m.g|rna32891|gene13747|Level=3	36.838	46.151	49.024	32.030	29.511	34.205	44.000	49.352	38.697
Xetrov90022284m.g|rna31101|gene11979|Level=3	0.000	0.113	0.000	0.336	0.051	0.137	0.230	0.297	0.000
Xetrov90022295m.g|rna28751|gene9661|Level=3	0.000	0.000	0.596	0.079	0.472	0.069	0.000	0.143	0.467
Xetrov90022299m.g|rna28046|gene8969|Level=3	0.417	1.267	0.390	0.743	0.350	0.000	0.633	0.000	0.535
Xetrov90022305m.g|rna29306|gene10209|Level=3	0.157	0.235	0.000	0.000	0.473	0.478	0.239	0.309	0.403
Xetrov90022320m.g|rna31823|gene12696|Level=3	1.072	1.040	0.732	1.139	2.140	0.939	1.665	3.831	0.845
Xetrov90022356m.g|rna32652|gene13511|Level=3	0.710	0.762	0.832	0.235	0.368	0.553	0.755	2.096	0.498
Xetrov90022367m.g|rna32576|gene13435|Level=3	0.200	0.596	0.374	0.000	0.334	0.000	0.607	0.943	0.513
Xetrov90022395m.g|rna30563|gene11445|Level=3	20.737	13.474	12.200	19.038	15.837	16.642	21.384	25.040	16.335
Xetrov90022411m.g|rna34515|gene15338|Level=3	0.000	0.000	0.000	0.000	0.267	0.000	0.000	0.157	1.025
Xetrov90022422m.g|rna27969|gene8893|Level=3	0.344	0.881	1.197	0.171	1.496	2.167	1.421	0.658	0.757
Xetrov90022467m.g|rna28234|gene9150|Level=3	371.484	453.518	245.798	271.311	309.326	380.321	315.633	619.302	385.445
Xetrov90022475m.g|rna33335|gene14179|Level=3	0.132	0.466	0.771	0.000	0.391	0.200	0.926	0.958	0.887
Xetrov90022476m.g|rna28200|gene9117|Level=3	0.219	0.000	0.000	0.381	0.110	0.167	0.500	1.035	0.563
Xetrov90022476m.g|rna32841|gene13697|Level=3	0.122	0.000	0.063	0.068	0.218	0.309	0.328	0.553	0.422
Xetrov90022478m.g|rna33318|gene14162|Level=3	0.723	1.259	1.129	0.838	1.088	0.732	1.099	1.896	0.928
Xetrov90022482m.g|rna29934|gene10828|Level=3	1.668	1.581	0.609	0.739	1.521	1.632	0.336	0.940	0.000
Xetrov90022484m.g|rna32868|gene13724|Level=3	0.269	0.524	0.000	0.330	0.432	0.404	0.465	0.409	0.104
Xetrov90022492m.g|rna31690|gene12563|Level=3	0.025	0.331	0.669	0.000	0.045	0.000	0.056	0.058	0.000
Xetrov90022504m.g|rna31292|gene12168|Level=3	6.284	9.099	9.135	3.207	4.461	3.072	0.000	6.774	4.671
Xetrov90022510m.g|rna29579|gene10481|Level=3	0.797	2.743	7.840	0.000	1.056	0.284	0.282	0.690	0.338
Xetrov90022511m.g|rna28771|gene9680|Level=3	0.701	1.170	0.315	0.212	0.588	1.140	1.459	0.000	0.000
Xetrov90022513m.g|rna30884|gene11765|Level=3	0.000	1.422	2.006	0.000	0.577	0.000	0.000	2.070	0.000
Xetrov90022522m.g|rna34262|gene15087|Level=3	0.231	0.310	0.640	0.000	0.107	0.353	0.393	0.033	1.005
Xetrov90022529m.g|rna30739|gene11621|Level=3	0.701	1.170	0.315	0.212	0.588	1.140	1.459	0.000	0.000
Xetrov90022533m.g|rna27841|gene8767|Level=3	15.608	21.306	16.705	20.957	23.635	16.750	35.852	28.803	20.238
Xetrov90022540m.g|rna29000|gene9907|Level=3	1.471	0.785	5.682	0.923	2.829	0.595	1.300	3.214	2.310
Xetrov90022545m.g|rna30529|gene11411|Level=3	12.993	0.234	0.021	0.000	0.000	0.241	18.533	16.149	24.799
Xetrov90022546m.g|rna32897|gene13753|Level=3	12.993	0.234	0.021	0.000	0.000	0.241	18.533	16.149	24.799
Xetrov90022553m.g|rna33534|gene14375|Level=3	1.120	4.669	0.000	2.379	1.937	0.000	3.315	6.487	0.000
Xetrov90022556m.g|rna34357|gene15181|Level=3	0.701	1.170	0.315	0.212	0.588	1.140	1.459	0.000	0.000
Xetrov90022559m.g|rna30399|gene11284|Level=3	0.000	0.000	0.527	0.528	0.205	0.000	0.000	0.000	0.000
Xetrov90022563m.g|rna34591|gene15413|Level=3	0.701	1.170	0.315	0.212	0.117	1.140	0.000	0.000	0.000
Xetrov90022573m.g|rna34860|gene15680|Level=3	1.471	0.785	0.000	0.923	2.829	0.595	1.300	3.214	2.310
Xetrov90022575m.g|rna29015|gene9922|Level=3	0.701	1.170	0.315	0.212	0.588	1.140	1.459	0.000	0.000
Xetrov90022594m.g|rna30595|gene11477|Level=3	0.701	1.170	0.315	0.212	0.117	1.140	0.000	0.000	0.000
Xetrov90022598m.g|rna29993|gene10884|Level=3	0.581	0.621	0.523	1.895	0.740	0.546	0.759	1.199	1.141
Xetrov90022601m.g|rna27611|gene8538|Level=3	0.000	0.211	0.530	0.000	0.000	0.430	0.000	0.111	0.000
Xetrov90022606m.g|rna34401|gene15225|Level=3	0.000	0.779	1.119	0.372	0.068	0.000	0.000	0.000	0.000
Xetrov90022622m.g|rna30095|gene10983|Level=3	3.923	3.291	1.836	0.426	1.721	4.095	1.863	1.928	6.289
Xetrov90022646m.g|rna29703|gene10602|Level=3	0.230	1.270	1.935	0.350	0.703	0.426	2.719	1.916	1.133
Xetrov90022646m.g|rna34414|gene15238|Level=3	1.716	10.239	0.000	2.981	1.147	5.212	7.825	9.447	0.000
Xetrov90022668m.g|rna29094|gene9999|Level=3	0.214	0.319	0.301	0.186	0.626	0.163	1.058	1.810	1.236
Xetrov90022698m.g|rna31267|gene12143|Level=3	0.209	1.102	0.453	0.508	0.918	0.419	0.987	2.678	1.982
Xetrov90022720m.g|rna34738|gene15559|Level=3	0.035	0.271	0.736	0.446	1.139	0.482	1.257	1.913	4.312
Xetrov90022737m.g|rna27951|gene8875|Level=3	4.073	5.257	4.256	4.589	6.200	4.861	10.256	10.762	4.958
Xetrov90022742m.g|rna31233|gene12109|Level=3	4.109	4.544	3.067	4.359	4.985	5.004	5.040	4.366	5.949
Xetrov90022751m.g|rna34861|gene15681|Level=3	0.127	0.268	0.238	0.294	0.454	0.408	0.622	0.409	0.457
Xetrov90022753m.g|rna32486|gene13349|Level=3	0.080	0.120	0.150	0.278	0.308	0.183	0.183	0.315	0.103
Xetrov90022757m.g|rna30312|gene11197|Level=3	0.000	0.000	0.895	0.000	0.240	1.089	1.090	1.693	0.613
Xetrov90022761m.g|rna33621|gene14460|Level=3	0.133	0.198	0.000	0.000	0.064	0.134	0.471	0.313	0.568
Xetrov90022770m.g|rna31799|gene12672|Level=3	0.118	1.404	0.000	0.000	0.315	0.188	0.470	0.648	0.604
Xetrov90022771m.g|rna32916|gene13771|Level=3	0.115	0.857	0.000	0.000	0.384	0.000	0.524	0.271	0.000
Xetrov90022772m.g|rna30873|gene11754|Level=3	0.162	0.905	1.136	1.265	0.663	0.492	3.567	1.782	2.180
Xetrov90022772m.g|rna31836|gene12709|Level=3	0.090	0.269	0.506	1.095	1.023	0.000	1.881	1.062	1.617
Xetrov90022774m.g|rna33140|gene13989|Level=3	0.072	0.488	0.138	0.000	0.118	0.166	0.676	0.323	0.645
Xetrov90022775m.g|rna32201|gene13067|Level=3	0.129	1.846	3.460	2.236	1.306	0.391	2.948	2.261	2.210
Xetrov90022777m.g|rna33736|gene14573|Level=3	0.806	1.335	1.508	0.933	1.047	1.087	0.544	0.211	0.459
Xetrov90022782m.g|rna31972|gene12843|Level=3	3.859	1.726	2.008	0.244	2.053	7.191	5.376	9.403	1.412
Xetrov90022791m.g|rna28052|gene8975|Level=3	0.000	0.000	0.523	0.000	0.233	0.000	0.424	0.220	0.358
Xetrov90022802m.g|rna29096|gene10001|Level=3	1.177	0.376	0.944	2.045	1.686	0.638	1.278	1.124	0.863
Xetrov90022812m.g|rna31102|gene11980|Level=3	0.757	0.903	0.755	0.438	0.893	0.957	2.108	1.785	1.100
Xetrov90022852m.g|rna28904|gene9812|Level=3	0.611	0.857	0.605	1.186	1.164	1.091	1.802	1.837	1.106
Xetrov90022854m.g|rna34177|gene15002|Level=3	0.000	0.247	0.000	0.000	0.000	0.000	0.252	0.130	1.701
Xetrov90022879m.g|rna27761|gene8688|Level=3	0.730	0.435	0.463	0.253	0.439	0.000	0.665	0.574	0.000
Xetrov90022963m.g|rna29695|gene10594|Level=3	4.346	12.036	3.486	5.392	3.941	2.828	7.548	6.346	3.185
Xetrov90023006m.g|rna31188|gene12065|Level=3	118.710	106.811	140.279	123.248	182.363	189.297	13.102	7.822	0.000
Xetrov90023009m.g|rna32917|gene13772|Level=3	2131.950	836.761	368.641	4069.720	3349.570	2053.880	709.550	56.154	129.305
Xetrov90023012m.g|rna32913|gene13768|Level=3	1.044	0.777	3.907	1.812	2.267	0.000	0.000	0.000	0.000
